Normal,HLH,TGA,TOF,EA,TA
134,427,222,75,-22,66
276,382,10,80,NaN,38
240,403,102,NaN,-78,NaN
182,393,72,67,NaN,NaN
192,279,122,25,-27,31
117,392,100,77,NaN,184
210,292,151,NaN,-206,203
152,266,120,77,NaN,NaN
188,308,139,25,-18,NaN
169,272,112,14,NaN,NaN
145,316,136,-25,NaN,NaN
211,220,158,NaN,-106,NaN
173,360,69,29,-376,NaN
145,332,80,-24,-162,NaN
136,361,51,79,-129,NaN
174,356,109,97,-209,NaN
209,320,40,79,NaN,NaN
159,366,172,-40,NaN,NaN
165,415,122,-279,NaN,NaN
183,302,NaN,-21,NaN,NaN
154,279.19,61,NaN,NaN,NaN
229,242,73,-77,NaN,NaN
258,340.67,176,-6,NaN,NaN
217,428,42,-14,NaN,NaN
129,336,121,NaN,NaN,NaN
187,323,43,NaN,NaN,NaN
176,300,138,NaN,NaN,NaN
148,311,90,NaN,NaN,NaN
200,456,56,NaN,NaN,NaN
179,410,95,NaN,NaN,NaN
224,292,69,NaN,NaN,NaN
197,298,139,NaN,NaN,NaN
120,253,175,NaN,NaN,NaN
194,401,107,NaN,NaN,NaN
206,439,172,NaN,NaN,NaN
189,403.66,215,NaN,NaN,NaN
161,232,27,NaN,NaN,NaN
153,316,77,NaN,NaN,NaN
114,211,214,NaN,NaN,NaN
164,185,190,NaN,NaN,NaN
NaN,268,250,NaN,NaN,NaN
NaN,154,233,NaN,NaN,NaN
NaN,NaN,84,NaN,NaN,NaN
NaN,NaN,115,NaN,NaN,NaN
NaN,NaN,85,NaN,NaN,NaN
NaN,NaN,102,NaN,NaN,NaN
NaN,NaN,101,NaN,NaN,NaN
NaN,NaN,210,NaN,NaN,NaN
NaN,NaN,91,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,112,NaN,NaN,NaN
NaN,NaN,110,NaN,NaN,NaN
NaN,NaN,249,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,191,NaN,NaN,NaN
NaN,NaN,190,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,195,NaN,NaN,NaN
NaN,NaN,122,NaN,NaN,NaN
