Normal,HLH,TGA,TOF,EA,TA
148.639175257732,-38,258,NaN,231.329896907216,377.60824742268
124.515463917526,-20,40,NaN,265.680412371134,377.443298969072
152.948453608247,-23,57,NaN,213.752577319588,279.577319587629
132.824742268041,-56,21,NaN,NaN,471.690721649485
207.59793814433,-22,25,NaN,228.670103092784,315.082474226804
128.824742268041,-28,177,NaN,227.381443298969,305.948453608247
126.185567010309,NaN,0,NaN,225.164948453608,246.309278350515
180.288659793814,11.7525773195876,-10,NaN,NaN,NaN
162.185567010309,-80.5773195876289,63,NaN,293.340206185567,NaN
130.030927835052,55.1030927835052,117,NaN,148.39175257732,NaN
112.845360824742,-25.659793814433,136,NaN,199.670103092784,NaN
65.9175257731959,-55.3814432989691,158,NaN,NaN,NaN
146.443298969072,NaN,169,NaN,NaN,NaN
147.577319587629,117.154639175258,98,NaN,NaN,NaN
119.835051546392,27.6701030927835,69,NaN,NaN,NaN
172.154639175258,-44,109,NaN,NaN,NaN
138.309278350515,-125,96,NaN,NaN,NaN
154.536082474227,-80,172,NaN,NaN,NaN
132.113402061856,-102,111,NaN,NaN,NaN
68.6288659793814,-23,298,NaN,NaN,NaN
39.1134020618557,NaN,102,NaN,NaN,NaN
107.701030927835,-19,73,NaN,NaN,NaN
96.5979381443299,NaN,176,NaN,NaN,NaN
215.123711340206,-82,42,NaN,NaN,NaN
202.670103092784,-86,122,NaN,NaN,NaN
146.701030927835,-32,44,NaN,NaN,NaN
232.845360824742,NaN,15,NaN,NaN,NaN
126.412371134021,-47,91,NaN,NaN,NaN
267.835051546392,NaN,56,NaN,NaN,NaN
133.020618556701,-104,92,NaN,NaN,NaN
165.360824742268,-72,69,NaN,NaN,NaN
98.4020618556701,-53,94,NaN,NaN,NaN
87.2783505154639,-60,175,NaN,NaN,NaN
109.886597938144,-28,104,NaN,NaN,NaN
96.2371134020619,-70,NaN,NaN,NaN,NaN
168.546391752577,NaN,NaN,NaN,NaN,NaN
137.896907216495,NaN,NaN,NaN,NaN,NaN
39.2371134020619,NaN,NaN,NaN,NaN,NaN
111.144329896907,NaN,NaN,NaN,NaN,NaN
192.134020618557,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,247,NaN,NaN,NaN
NaN,NaN,111,NaN,NaN,NaN
