Normal,HLH,TGA,TOF,EA,TA
95,38,27,120,22,34
114,20,152,NaN,NaN,38
48,23,56,335,NaN,76
87,56,80,25,NaN,32
43,22,100,56,27,31
169,28,34,38,NaN,100
107,NaN,96,NaN,51,96
72,51,195,20,NaN,NaN
43,95,57,62,27,NaN
74,73,31,68,NaN,NaN
44,85,74,156,NaN,NaN
85,128,33,NaN,NaN,NaN
93,NaN,46,100,NaN,NaN
64,22,160,NaN,NaN,NaN
93,84,146,46,NaN,NaN
79,44,76,64,NaN,NaN
32,125,105,127,NaN,NaN
79,80,NaN,40,NaN,NaN
82,102,44,NaN,NaN,NaN
78,23,NaN,21,NaN,NaN
97,NaN,85,NaN,NaN,NaN
58,19,98,77,NaN,NaN
84,NaN,68,6,NaN,NaN
36,82,90,15,NaN,NaN
50,86,88,NaN,NaN,NaN
40,32,112,NaN,NaN,NaN
56,NaN,240,NaN,NaN,NaN
52,47,112,NaN,NaN,NaN
28,NaN,NaN,NaN,NaN,NaN
130,104,51,NaN,NaN,NaN
57,72,36,NaN,NaN,NaN
105,53,158,NaN,NaN,NaN
126,60,137,NaN,NaN,NaN
76,28,199,NaN,NaN,NaN
98,70,NaN,NaN,NaN,NaN
56,NaN,70,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN
191,47,118,NaN,NaN,NaN
120,NaN,55,NaN,NaN,NaN
76,48,NaN,NaN,NaN,NaN
NaN,56,82,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,84,NaN,NaN,NaN
NaN,NaN,120,NaN,NaN,NaN
NaN,NaN,27,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,50,NaN,NaN,NaN
NaN,NaN,140,NaN,NaN,NaN
NaN,NaN,56,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,35,NaN,NaN,NaN
NaN,NaN,41,NaN,NaN,NaN
NaN,NaN,125,NaN,NaN,NaN
NaN,NaN,60,NaN,NaN,NaN
NaN,NaN,21,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,70,NaN,NaN,NaN
NaN,NaN,65,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,58,NaN,NaN,NaN
NaN,NaN,33,NaN,NaN,NaN
